;; -*- coding: utf-8-mcs-er -*-
U-0002FA06	駂	駂
U-0002FA07	駾	⿰馬兑
U-0002FA08	䯎	⿰&AJ1-02062;&CDP-8D4A;
U-0002FA09	𩬰	⿱髟⿰工&AJ1-03724;
U-0002FA0A	鬒	⿱髟真
U-0002FA0B	鱀	⿱&AJ1-13701;魚
U-0002FA0C	鳽	⿰幵鳥
U-0002FA0D	䳎	⿰𦥑鳥
U-0002FA0E	䳭	⿰即鳥
U-0002FA0F	鵧	⿰幷鳥
U-0002FA10	𪃎	⿰&AJ1-04216;鳥
U-0002FA11	䳸	⿸&AJ1-03729;鳥
U-0002FA12	𪄅	⿱&AJ1-02164;鳥
U-0002FA13	𪈎	⿰頼鳥
U-0002FA14	𪊑	⿸&AJ1-02267;幵
U-0002FA15	麻	⿸广𣏟
U-0002FA16	䵖	⿱𠭃黍
U-0002FA17	黹	⿱&CDP-8D6B;&AJ1-17590;
U-0002FA18	黾	⿱口&CDP-8BE8;
U-0002FA19	鼅	⿱知&AJ1-07449;
U-0002FA1A	鼏	&JSP-6D26;
U-0002FA1B	鼖	⿱𠦄鼓
U-0002FA1C	鼻	⿱自𢌿
U-0002FA1D	𪘀	⿰齒幷
