;; -*- coding: utf-8-mcs-er -*-
HZK10-CCB2	&HZK10-CCB2;	⿺⻍𡗜一&CDP-8BF1;
HZK10-CCB3	&HZK10-CCB3;	⿺⻍来力
HZK10-CCB4	&HZK10-CCB4;	⿺⻍止目
HZK10-CCB6	&HZK10-CCB6;	⿺⻍𠧪
HZK10-CCB7	&HZK10-CCB7;	⿺⻍&C2-226F;巾
HZK10-CCB8	&HZK10-CCB8;	⿺⻍日正
HZK10-CCB9	&HZK10-CCB9;	⿺⻍是
HZK10-CCBB	&HZK10-CCBB;	⿺⻍日⺢
HZK10-CCCD	&HZK10-CCCD;	⿺⻍日儿&GT-07201;
HZK10-CCCF	&HZK10-CCCF;	⿺⻌&CDP-8C48;贝
HZK10-CCD0	&HZK10-CCD0;	⿺⻍⿰口口于
HZK10-CCD1	&HZK10-CCD1;	⿺⻌咢
HZK10-CCED	&HZK10-CCED;	⿺⻍山&CDP-86B7;
HZK10-CCEF	&HZK10-CCEF;	⿺⻍回夕
HZK10-CCF0	&HZK10-CCF0;	⿺⻍囗&GT-01888;日
HZK10-CCF1	&HZK10-CCF1;	⿺⻍垂
HZK10-CCF2	&HZK10-CCF2;	⿺⻍卸
HZK10-CCF3	&HZK10-CCF3;	⿺⻍臿
HZK10-CCF4	&HZK10-CCF4;	⿺⻍&B-ADAB;
HZK10-CCF5	&HZK10-CCF5;	⿺⻍&CDP-8DD9;
HZK10-CCF6	&HZK10-CCF6;	⿺⻍亻灷
HZK10-CD4F	&HZK10-CD4F;	⿺⻍&CDP-88E7;
HZK10-CD50	&HZK10-CD50;	⿺⻍勹&B-A8AE;
HZK10-CD51	&HZK10-CD51;	⿺⻍&M-09980;
HZK10-CD6E	&HZK10-CD6E;	⿺⻌&GT-11194;
HZK10-CD70	&HZK10-CD70;	⿺⻍𠫓&CDP-8BAD;
HZK10-CDB1	&HZK10-CDB1;	⿱&M-38825;乆
HZK10-AB50	&HZK10-AB50;	⿰⻊庄
HZK10-AB52	&HZK10-AB52;	⿱&GT-00384;&B-A8AC;
HZK10-AB53	&HZK10-AB53;	⿰⻊广乇
HZK10-AB54	&HZK10-AB54;	⿰⻊&CDP-8A54;
HZK10-AB56	&HZK10-AB56;	⿰⻊&M-15992;
HZK10-AB57	&HZK10-AB57;	⿰⻊&GT-00387;
HZK10-AB58	&HZK10-AB58;	⿰⻊羊
HZK10-AB5A	&HZK10-AB5A;	⿰⻊&GT-34594;
HZK10-AB5B	&HZK10-AB5B;	⿰⻊&GT-08889;
HZK10-AB5C	&HZK10-AB5C;	⿰⻊聿
HZK10-AB70	&HZK10-AB70;	⿰⻊丞
HZK10-AB71	&HZK10-AB71;	⿰⻊乃木
HZK10-AB72	&HZK10-AB72;	⿰⻊&CDP-8B6A;
HZK10-AB73	&HZK10-AB73;	⿲&CDP-8B6B;&CDP-8DF6;&M-03115;
HZK10-AB74	&HZK10-AB74;	⿰⻊巛夕
HZK10-AB75	&HZK10-AB75;	⿰⻊&CDP-897D;寸
HZK10-AB76	&HZK10-AB76;	⿰⻊吞
HZK10-AB77	&HZK10-AB77;	⿰⻊扶
HZK10-AB79	&HZK10-AB79;	⿰⻊折
HZK10-AB7C	&HZK10-AB7C;	⿲&CDP-8B6B;去卩
HZK10-AB7E	&HZK10-AB7E;	⿰⻊求
HZK10-ABB2	&HZK10-ABB2;	⿰⻊孛
HZK10-ABB3	&HZK10-ABB3;	⿰⻊甫
HZK10-ABB4	&HZK10-ABB4;	⿰⻊&M-14283;
HZK10-ABB5	&HZK10-ABB5;	⿰⻊束
HZK10-ABB6	&HZK10-ABB6;	⿰⻊&B-A8A7;
HZK10-ABB7	&HZK10-ABB7;	⿰⻊&B-A8B0;
HZK10-ABB8	&HZK10-ABB8;	⿰⻊夾
HZK10-ABB9	&HZK10-ABB9;	⿰⻊巠
HZK10-ABBC	&HZK10-ABBC;	⿰⻊旱
HZK10-ABBD	&HZK10-ABBD;	⿰⻊&B-A8A9;
HZK10-ABBE	&HZK10-ABBE;	⿰⻊&B-A8A3;
HZK10-ABD2	&HZK10-ABD2;	⿰⻊目匕
HZK10-ABD4	&HZK10-ABD4;	⿰⻊困
HZK10-ABD5	&HZK10-ABD5;	⿰⻊&M-03363;
HZK10-ABD6	&HZK10-ABD6;	⿰⻊岑
HZK10-ABD7	&HZK10-ABD7;	⿰⻊告
HZK10-ABD8	&HZK10-ABD8;	⿰⻊我
HZK10-ABD9	&HZK10-ABD9;	⿰⻊𠂉&CDP-8B6D;乚
HZK10-ABDA	&HZK10-ABDA;	⿰⻊升土
HZK10-ABDB	&HZK10-ABDB;	⿰⻊&CDP-8DA6;
HZK10-ABDD	&HZK10-ABDD;	⿰⻊丿&CDP-8BC5;乚匕
HZK10-ABDF	&HZK10-ABDF;	⿰⻊作
HZK10-ABE0	&HZK10-ABE0;	⿰⻊⺤寸
HZK10-ABE1	&HZK10-ABE1;	⿰⻊&M-06107;
HZK10-ABE2	&HZK10-ABE2;	⿰⻊余
HZK10-ABE3	&HZK10-ABE3;	⿰⻊&C1-492B;
HZK10-ABE4	&HZK10-ABE4;	⿱&B-A8BC;&B-A8AC;
HZK10-ABE5	&HZK10-ABE5;	⿰⻊坐
HZK10-ABF2	&HZK10-ABF2;	⿰⻊&CDP-88F0;廾
HZK10-ABF3	&HZK10-ABF3;	⿰⻊&GT-07201;火
HZK10-ABF4	&HZK10-ABF4;	⿰⻊床
HZK10-ABF5	&HZK10-ABF5;	⿰⻊𠦑
HZK10-ABF6	&HZK10-ABF6;	⿰⻊&B-A8AF;
HZK10-ABF7	&HZK10-ABF7;	⿰⻊𠫓廾
HZK10-ABF8	&HZK10-ABF8;	⿰⻊&UU+342C;
HZK10-ABF9	&HZK10-ABF9;	⿰⻊弟
HZK10-ABFB	&HZK10-ABFB;	⿰⻊&M-39305;
HZK10-AC53	&HZK10-AC53;	⿰⻊&CDP-86C6;&GT-17214;
HZK10-AC55	&HZK10-AC55;	⿰⻊&B-AAFD;
HZK10-AC73	&HZK10-AC73;	⿰⻊武
HZK10-AC74	&HZK10-AC74;	⿰⻊&B-AAF8;
HZK10-AC77	&HZK10-AC77;	⿰⻊亞
HZK10-AC7A	&HZK10-AC7A;	⿰⻊廿木
