<;; -*- coding: utf-8-mcs-er -*-
HZK11-CB51	&HZK11-CB51;	⿰&B-AAF7;&GT-04942;
HZK11-CB52	&HZK11-CB52;	钅门柬
HZK11-CB53	&HZK11-CB53;	⿰&B-AAF7;善
HZK11-CB54	&HZK11-CB54;	⿰钅善
HZK11-CB56	&HZK11-CB56;	⿰钅普
HZK11-CB6E	&HZK11-CB6E;	⿰&B-AAF7;&CDP-8BE3;几
HZK11-CB71	&HZK11-CB71;	⿰&B-AAF7;&GT-08869;一血丁
HZK11-CB72	&HZK11-CB72;	钅穴串
HZK11-CB73	&HZK11-CB73;	⿰&B-AAF7;&GT-09374;
HZK11-CB74	&HZK11-CB74;	⿰&B-AAF7;&B-B67C;
HZK11-CB75	&HZK11-CB75;	⿰&B-AAF7;&B-B67D;
HZK11-CB76	&HZK11-CB76;	⿰&B-AAF7;&B-B6A1;
HZK11-CB77	&HZK11-CB77;	⿰&B-AAF7;&B-B6A2;
HZK11-CB78	&HZK11-CB78;	⿰&B-AAF7;孱
HZK11-CBAD	&HZK11-CBAD;	⿲钅弓&CDP-8C65;
HZK11-A8CC	&HZK11-A8CC;	⿰卑&B-AB41;
HZK11-A8CD	&HZK11-A8CD;	⿰舍&B-AB41;
HZK11-A8CE	&HZK11-A8CE;	&GT-01850;&GT-34594;&B-AB41;
HZK11-A8D0	&HZK11-A8D0;	⿺&GT-01781;&B-AB41;
HZK11-A8D1	&HZK11-A8D1;	⿰匊&B-AB41;
HZK11-A8D2	&HZK11-A8D2;	⿰&GT-00396;&B-AB41;
HZK11-A8D3	&HZK11-A8D3;	⿰夜&B-AB41;
HZK11-A8D4	&HZK11-A8D4;	⿰&GT-03504;&B-AB41;
HZK11-A8D5	&HZK11-A8D5;	⿰&GT-11674;&B-AB41;
HZK11-A8D6	&HZK11-A8D6;	⿰&CDP-8BCF;&B-AB41;
HZK11-A8D7	&HZK11-A8D7;	⿰&GT-37913;&B-AB41;
HZK11-A8D8	&HZK11-A8D8;	⿰&CDP-8C60;&B-AB41;
HZK11-A8D9	&HZK11-A8D9;	⿰甾&B-AB41;
HZK11-A8DA	&HZK11-A8DA;	⿰苠&B-AB41;
HZK11-A8DB	&HZK11-A8DB;	⿱&GT-37991;&B-AB41;
HZK11-A8DC	&HZK11-A8DC;	⿰匽&B-AB41;
