;; -*- coding: utf-8-mcs-er -*-
HZK03-AA40	&HZK03-AA40;	⿰彳睘
HZK03-AA41	&HZK03-AA41;	彳山虫攵
HZK03-AA42	&HZK03-AA42;	行山言
HZK03-AA58	&HZK03-AA58;	彳白&CDP-88B8;戈
HZK03-AA5A	&HZK03-AA5A;	⿰彳&B-B8E2;
HZK03-AABA	&HZK03-AABA;	行真
HZK03-AABB	&HZK03-AABB;	⿰彳&GT-47165;
HZK03-AABC	&HZK03-AABC;	⿰彳&GT-00433;
HZK03-AABD	&HZK03-AABD;	⿰彳廌
HZK03-AABE	&HZK03-AABE;	彳𠫓田攵
HZK03-AABF	&HZK03-AABF;	⿰彳&B-B940;
HZK03-AAC0	&HZK03-AAC0;	行&CDP-8DEC;口帀
HZK03-AADA	&HZK03-AADA;	行巛𦣻
HZK03-AADB	&HZK03-AADB;	行土田廾
HZK03-AADC	&HZK03-AADC;	⿲彳&B-B0AC;攵
HZK03-AADD	&HZK03-AADD;	彳&CDP-8BD5;大&CDP-8BAD;
HZK03-AADE	&HZK03-AADE;	彳山戚
HZK03-AAFB	&HZK03-AAFB;	行&B-B3BD;
HZK03-AAFC	&HZK03-AAFC;	⿲彳言甹
HZK03-AAFD	&HZK03-AAFD;	行&GT-26651;
HZK03-AAFE	&HZK03-AAFE;	⿰彳&M-07296;
HZK03-AB40	&HZK03-AB40;	⿰彳&M-28727;
HZK03-AB41	&HZK03-AB41;	⿰彳&CDP-8AE1;
HZK03-AB42	&HZK03-AB42;	行巢
HZK03-AB43	&HZK03-AB43;	⿰彳替
HZK03-AB44	&HZK03-AB44;	⿰彳&B-BDE6;
HZK03-CBB5	&I-HZK03-CBB5;	⿰弓&CDP-8C50;
HZK03-CBB6	&HZK03-CBB6;	⿲⿰弓弓攵
HZK03-CBB7	&I-HZK03-CBB7;	⿰弓矣
HZK03-CBB8	&HZK03-CBB8;	⿰弓&CDP-8D64;
HZK03-CBD5	&I-HZK03-CBD5;	弓廿木
HZK03-CBD6	&I-HZK03-CBD6;	⿰弓直
HZK03-CBD7	&I-HZK03-CBD7;	⿰弓疌
HZK03-CBD9	&I-HZK03-CBD9;	弓止&CDP-8B67;
HZK03-CBDA	&HZK03-CBDA;	⿰弓&B-AAEA;
HZK03-CBDB	&HZK03-CBDB;	⿰弓&CDP-8CAA;
HZK03-CBDC	&I-HZK03-CBDC;	⿰弓垂
HZK03-CBDD	&HZK03-CBDD;	⿰弓并
HZK03-CBDE	&HZK03-CBDE;	⿰弓委
HZK03-CBDF	&I-HZK03-CBDF;	⿰弓兒
HZK03-CBE0	&I-HZK03-CBE0;	⿰弓&GT-25238;
HZK03-CBF5	&HZK03-CBF5;	⿰弓&GT-00396;
HZK03-CBF6	&HZK03-CBF6;	⿰弓妾
HZK03-CBF7	&I-HZK03-CBF7;	弓𠫓木
HZK03-CBF8	&I-HZK03-CBF8;	弓&GT-00376;&GT-35079;
HZK03-CBF9	&HZK03-CBF9;	弓丷&CDP-8BD9;
HZK03-CBFA	&I-HZK03-CBFA;	⿰弓屈
HZK03-CBFC	&I-HZK03-CBFC;	弓卉木
HZK03-CBFD	&HZK03-CBFD;	⿰弭弓
HZK03-CBFE	&HZK03-CBFE;	⿰弓&CDP-8CAD;
