;; -*- coding: utf-8-mcs-er -*-
CB00479	&I-CB00479;	⿸疒⿺𠃊丙
CB00480	&I-CB00480;	⿸疒⿱𠆢镸
CB00481	&I-CB00481;	⿸疒包
CB00482	&I-CB00482;	⿸疒尼
CB00483	&I-CB00483;	⿸疒玄
CB00484	&I-CB00484;	⿸疒亞
CB00485	&I-CB00485;	⿸疒婁
CB00486	&I-CB00486;	⿸疒陰
CB00487	&I-CB00487;	⿸疒黃
CB00488	&I-CB00488;	⿸疒槃
CB00489	&I-CB00489;	⿸疒樂
CB00490	&I-CB00490;	⿸疒盤
CB00491	&I-CB00491;	⿸疒瞿
CB00492	&I-CB00492;	⿸疒戀
CB00493	&I-CB00493;	⿰飠人
CB00494	&I-CB00494;	⿰飠&g2-AJ1-13966;
CB00495	&I-CB00495;	⿰飠果
CB00496	&I-CB00496;	⿰飠&MJ021598;
CB00497	&I-CB00497;	⿰飠羔
CB00498	&I-CB00498;	⿰飠善
CB00499	&I-CB00499;	⿰馬太
CB00500	&I-CB00500;	⿰馬文
CB00501	&I-CB00501;	⿰馬犬
CB00502	&I-CB00502;	⿰馬丘
CB00503	&I-CB00503;	⿰馬央
CB00504	&I-CB00504;	⿰馬宗
CB00505	&I-CB00505;	⿰馬剽
CB00506	&I-CB00506;	⿱高木
CB00507	&I-CB00507;	⿻鬥⿰?斤
CB00508	&I-CB00508;	⿻鬥⿰豆寸
CB00509	&I-CB00509;	⿱商衣
CB00510	&I-CB00510;	⿰國&G0-394F;
CB00511	&I-CB00511;	⿱其虫
CB00512	&I-CB00512;	⿱執衣
CB00513	&I-CB00513;	⿰專瓦
CB00514	&I-CB00514;	⿸厂圭
CB00515	&I-CB00515;	⿰石㝵
CB00516	&I-CB00516;	⿱&AJ1-05070;&AJ1-07449;
CB00517	&I-CB00517;	⿱敏心
CB00518	&I-CB00518;	⿱斬心
CB00519	&I-CB00519;	⿰&CDP-8B7A;⿱夂火
CB00520	&I-CB00520;	⿰⺪束
CB00521	&CB00521;	⿱&CDP-8C4F;言
CB00522	&I-CB00522;	⿳艹犬皿
CB00523	&I-CB00523;	⿱&C1-5C7B;虫
CB00524	&I-CB00524;	⿰衤玄
CB00525	&I-CB00525;	⿰衤戒
CB00526	&I-CB00526;	⿰衤聶
CB00527	&I-CB00527;	⿺⻎⿸广手
CB00528	&I-CB00528;	⿺⻎&g2-AJ1-03744;
CB00529	&I-CB00529;	⿺⻎向
CB00530	&I-CB00530;	⿺⻎幸
CB00531	&I-CB00531;	⿺⻎易
CB00532	&I-CB00532;	⿺⻎朔
CB00533	&I-CB00533;	⿺⻎&C1-6E52;
CB00534	&I-CB00534;	⿺⻎欶
CB00535	&I-CB00535;	⿰竟竟
CB00536	&I-CB00536;	⿰魚單
CB00537	&I-CB00537;	⿱魚䲆
CB00538	&I-CB00538;	⿱鹿章
CB00539	&CB00539;	⿰麥&MJ011077;
CB00540	&I-CB00540;	⿱喜心
CB00541	&I-CB00541;	⿳士冖⿱石䖵
CB00542	&I-CB00542;	⿱斯瓦
CB00543	&I-CB00543;	⿰棠支
CB00544	&I-CB00544;	⿺毛&M-00703;
CB00545	&I-CB00545;	⿺毛匊
CB00546	&I-CB00546;	⿰焦頁
CB00547	&I-CB00547;	⿱無足
CB00548	&I-CB00548;	⿰番去
CB00549	&I-CB00549;	⿰番飛
CB00550	&I-CB00550;	⿰登斤
CB00551	&I-CB00551;	⿱&AJ1-05932;心
CB00552	&I-CB00552;	⿱⺮助
CB00553	&I-CB00553;	⿰月色
CB00554	&I-CB00554;	⿰虛戈
CB00555	&I-CB00555;	⿰目叚
CB00556	&I-CB00556;	⿰&CDP-8C7A;&CDP-8C79;
CB00557	&I-CB00557;	⿰氵⿱&GT-25225;夫
