;; -*- coding: utf-8-mcs-er -*-
U+3026D	𰉭	⿱土旬
U+3026E	𰉮	⿰土束
U+3026F	𰉯	⿱成土
U+30270	𰉰	⿰土𰅴
U+30271	𰉱	⿰土佥
U+30272	𰉲	⿰土免
U+30273	𰉳	⿰土乕
U+30274	𰉴	⿰土穷
U+30275	𰉵	⿰土尾
U+30276	𰉶	⿰土呇
U+30277	𰉷	⿰⿱土古土
U+30278	𰉸	⿱兓土
U+30279	𰉹	⿱松土
U+3027A	𰉺	⿰土匊
U+3027B	𰉻	⿰土受
U+3027C	𰉼	⿱朋土
U+3027D	𰉽	⿰土学
U+3027E	𰉾	⿰土夜
U+3027F	𰉿	⿱允𪢾
U+30280	𰊀	⿱始土
U+30281	𰊁	⿰土柝
U+30282	𰊂	⿰土带
U+30283	𰊃	⿰土⿱王皿
U+30284	𰊄	⿰土省
U+30285	𰊅	⿰土𫥎
U+30286	𰊆	⿰土沗
U+30287	𰊇	⿱洉土
U+30288	𰊈	⿱将土
U+30289	𰊉	⿱𠗒土
U+3028A	𰊊	⿰土兹
U+3028B	𰊋	⿰土𡱞
U+3028C	𰊌	⿱⿰土𡰱土
U+3028D	𰊍	⿰土袁
U+3028E	𰊎	⿰在吾
U+3028F	𰊏	⿰土⿱⿰万口木
U+30290	𰊐	⿰土畟
U+30291	𰊑	⿰土监
U+30292	𰊒	⿰土⿱艹𡰱
U+30293	𰊓	⿰土⿱罒电
U+30294	𰊔	⿰土息
U+30295	𰊕	⿰灻同
U+30296	𰊖	⿱㳭土
U+30297	𰊗	⿳士冖⿱癶土
U+30298	𰊘	⿰土孫
U+30299	𰊙	⿱殻土
U+3029A	𰊚	⿰土𦰩
U+3029B	𰊛	⿰土匮
U+3029C	𰊜	⿰土責
U+3029D	𰊝	⿰土⿱𥃭木
U+3029E	𰊞	⿰土卨
U+3029F	𰊟	⿰土𬜯
U+302A0	𰊠	⿰土常
U+302A1	𰊡	⿰土阎
U+302A2	𰊢	⿱渐土
U+302A3	𰊣	⿱淡土
U+302A4	𰊤	⿸庶土
U+302A5	𰊥	⿰土問
U+302A6	𰊦	⿰土喜
U+302A7	𰊧	⿰土⿱直木
U+302A8	𰊨	⿰土閑
U+302A9	𰊩	⿱⿲口臣口土
U+302AA	𰊪	⿳吅臣土
U+302AB	𰊫	⿰土筆
U+302AC	𰊬	⿰土翕
U+302AD	𰊭	⿺辶⿰斤坚
U+302AE	𰊮	⿰土畬
U+302AF	𰊯	⿱復土
